case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case4,0.9,G-U0053-03,1.0,0.5,0.6667,0.0,11,5,10,5,0
case5,0.88,G-U0053-03,1.0,0.5,0.6667,0.0,20,5,10,5,0
case6,0.85,G-U0053-03,1.0,0.5,0.6667,0.0,50,5,10,5,0
case1,0.96,G-U0053-04,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0053-04,1.0,0.5,0.6667,0.0,19,5,10,5,0
case3,0.92,G-U0053-04,1.0,0.5,0.6667,0.0,32,5,10,5,0
case4,0.9,G-U0053-04,1.0,0.5,0.6667,0.0,45,5,10,5,0
case5,0.88,G-U0053-04,1.0,0.5,0.6667,0.0,65,5,10,5,0
case6,0.85,G-U0053-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0054-01,0.8,0.4,0.5333,0.0141,11,5,10,4,1
case2,0.94,G-U0054-01,0.8,0.4,0.5333,0.0141,28,5,10,4,1
case3,0.92,G-U0054-01,0.8,0.4,0.5333,0.0141,46,5,10,4,1
case4,0.9,G-U0054-01,0.8,0.4,0.5333,0.0141,70,5,10,4,1
case5,0.88,G-U0054-01,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case6,0.85,G-U0054-01,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0054-02,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0054-02,1.0,0.5,0.6667,0.0,7,5,10,5,0
case3,0.92,G-U0054-02,1.0,0.5,0.6667,0.0,10,5,10,5,0
case4,0.9,G-U0054-02,1.0,0.5,0.6667,0.0,48,5,10,5,0
case5,0.88,G-U0054-02,1.0,0.5,0.6667,0.0,78,5,10,5,0
case6,0.85,G-U0054-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0054-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0054-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0054-03,1.0,0.5,0.6667,0.0,12,5,10,5,0
case4,0.9,G-U0054-03,1.0,0.5,0.6667,0.0,15,5,10,5,0
case5,0.88,G-U0054-03,1.0,0.5,0.6667,0.0,36,5,10,5,0
case6,0.85,G-U0054-03,1.0,0.5,0.6667,0.0,76,5,10,5,0
case1,0.96,G-U0054-04,1.0,0.5,0.6667,0.0,10,5,10,5,0
case2,0.94,G-U0054-04,1.0,0.5,0.6667,0.0,25,5,10,5,0
case3,0.92,G-U0054-04,1.0,0.5,0.6667,0.0,47,5,10,5,0
case4,0.9,G-U0054-04,1.0,0.5,0.6667,0.0,72,5,10,5,0
case5,0.88,G-U0054-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0054-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0054-05,0.4,0.2,0.2667,0.0423,27,5,10,2,3
case2,0.94,G-U0054-05,0.4,0.2,0.2667,0.0423,57,5,10,2,3
case3,0.92,G-U0054-05,0.4,0.2,0.2667,0.0423,78,5,10,2,3
case4,0.9,G-U0054-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case5,0.88,G-U0054-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case6,0.85,G-U0054-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case1,0.96,G-U0055-01,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0055-01,1.0,0.5,0.6667,0.0,8,5,10,5,0
case3,0.92,G-U0055-01,1.0,0.5,0.6667,0.0,23,5,10,5,0
case4,0.9,G-U0055-01,1.0,0.5,0.6667,0.0,39,5,10,5,0
case5,0.88,G-U0055-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case6,0.85,G-U0055-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0055-02,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0055-02,1.0,0.5,0.6667,0.0,11,5,10,5,0
case3,0.92,G-U0055-02,1.0,0.5,0.6667,0.0,19,5,10,5,0
case4,0.9,G-U0055-02,1.0,0.5,0.6667,0.0,30,5,10,5,0
case5,0.88,G-U0055-02,1.0,0.5,0.6667,0.0,46,5,10,5,0
case6,0.85,G-U0055-02,1.0,0.5,0.6667,0.0,69,5,10,5,0
case1,0.96,G-U0055-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0055-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0055-03,1.0,0.5,0.6667,0.0,17,5,10,5,0
case4,0.9,G-U0055-03,1.0,0.5,0.6667,0.0,30,5,10,5,0
case5,0.88,G-U0055-03,1.0,0.5,0.6667,0.0,48,5,10,5,0
case6,0.85,G-U0055-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0055-04,1.0,0.5,0.6667,0.0,19,5,10,5,0
case2,0.94,G-U0055-04,1.0,0.5,0.6667,0.0,31,5,10,5,0
case3,0.92,G-U0055-04,1.0,0.5,0.6667,0.0,57,5,10,5,0
case4,0.9,G-U0055-04,1.0,0.5,0.6667,0.0,70,5,10,5,0
case5,0.88,G-U0055-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case6,0.85,G-U0055-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0056-01,1.0,0.5,0.6667,0.0,21,5,10,5,0
case2,0.94,G-U0056-01,1.0,0.5,0.6667,0.0,27,5,10,5,0
case3,0.92,G-U0056-01,1.0,0.5,0.6667,0.0,44,5,10,5,0
case4,0.9,G-U0056-01,1.0,0.5,0.6667,0.0,60,5,10,5,0
case5,0.88,G-U0056-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case6,0.85,G-U0056-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0056-02,0.4,0.2,0.2667,0.0588,8,5,10,2,3
case2,0.94,G-U0056-02,0.4,0.2,0.2667,0.0588,25,5,10,2,3
case3,0.92,G-U0056-02,0.4,0.2,0.2667,0.0588,44,5,10,2,3
case4,0.9,G-U0056-02,0.4,0.2,0.2667,0.0588,60,5,10,2,3
case5,0.88,G-U0056-02,0.4,0.2,0.2667,0.0588,61,5,10,2,3
case6,0.85,G-U0056-02,0.4,0.2,0.2667,0.0588,61,5,10,2,3
case1,0.96,G-U0056-03,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0056-03,1.0,0.5,0.6667,0.0,5,5,10,5,0
case3,0.92,G-U0056-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case4,0.9,G-U0056-03,1.0,0.5,0.6667,0.0,10,5,10,5,0
case5,0.88,G-U0056-03,1.0,0.5,0.6667,0.0,19,5,10,5,0
case6,0.85,G-U0056-03,1.0,0.5,0.6667,0.0,56,5,10,5,0
case1,0.96,G-U0057-01,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0057-01,1.0,0.5,0.6667,0.0,9,5,10,5,0
case3,0.92,G-U0057-01,1.0,0.5,0.6667,0.0,17,5,10,5,0
case4,0.9,G-U0057-01,1.0,0.5,0.6667,0.0,39,5,10,5,0
case5,0.88,G-U0057-01,1.0,0.5,0.6667,0.0,59,5,10,5,0
case6,0.85,G-U0057-01,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0057-02,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0057-02,1.0,0.5,0.6667,0.0,11,5,10,5,0
case3,0.92,G-U0057-02,1.0,0.5,0.6667,0.0,20,5,10,5,0
case4,0.9,G-U0057-02,1.0,0.5,0.6667,0.0,34,5,10,5,0
case5,0.88,G-U0057-02,1.0,0.5,0.6667,0.0,54,5,10,5,0
case6,0.85,G-U0057-02,1.0,0.5,0.6667,0.0,79,5,10,5,0
case1,0.96,G-U0057-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0057-03,0.75,0.3,0.4286,0.0141,4,4,10,3,1
case3,0.92,G-U0057-03,0.6,0.3,0.4,0.0282,13,5,10,3,2
case4,0.9,G-U0057-03,0.6,0.3,0.4,0.0282,35,5,10,3,2
case5,0.88,G-U0057-03,0.6,0.3,0.4,0.0282,50,5,10,3,2
case6,0.85,G-U0057-03,0.6,0.3,0.4,0.0282,75,5,10,3,2
case1,0.96,G-U0057-04,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0057-04,1.0,0.5,0.6667,0.0,21,5,10,5,0
case3,0.92,G-U0057-04,1.0,0.5,0.6667,0.0,46,5,10,5,0
case4,0.9,G-U0057-04,1.0,0.5,0.6667,0.0,80,5,10,5,0
case5,0.88,G-U0057-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0057-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0057-05,0.8,0.4,0.5333,0.0141,43,5,10,4,1
case2,0.94,G-U0057-05,0.8,0.4,0.5333,0.0141,66,5,10,4,1
case3,0.92,G-U0057-05,0.8,0.4,0.5333,0.0141,80,5,10,4,1
case4,0.9,G-U0057-05,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case5,0.88,G-U0057-05,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case6,0.85,G-U0057-05,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0058-01,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0058-01,1.0,0.5,0.6667,0.0,14,5,10,5,0
case3,0.92,G-U0058-01,1.0,0.5,0.6667,0.0,25,5,10,5,0
case4,0.9,G-U0058-01,1.0,0.5,0.6667,0.0,42,5,10,5,0
case5,0.88,G-U0058-01,1.0,0.5,0.6667,0.0,64,5,10,5,0
case6,0.85,G-U0058-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0058-02,0.2,0.1,0.1333,0.0656,8,5,10,1,4
case2,0.94,G-U0058-02,0.2,0.1,0.1333,0.0656,21,5,10,1,4
case3,0.92,G-U0058-02,0.2,0.1,0.1333,0.0656,34,5,10,1,4
case4,0.9,G-U0058-02,0.2,0.1,0.1333,0.0656,48,5,10,1,4
case5,0.88,G-U0058-02,0.2,0.1,0.1333,0.0656,65,5,10,1,4
case6,0.85,G-U0058-02,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case1,0.96,G-U0058-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0058-03,1.0,0.5,0.6667,0.0,13,5,10,5,0
case3,0.92,G-U0058-03,1.0,0.5,0.6667,0.0,33,5,10,5,0
case4,0.9,G-U0058-03,1.0,0.5,0.6667,0.0,45,5,10,5,0
